Team,1972,1973,delta
Baltimore,3.37,4.65,1.28
Boston,4.13,4.56,0.43
California,2.93,3.88,0.95
Chicago,3.68,4.03,0.35
Cleveland,3.03,4.2,1.17
Detroit,3.58,3.96,0.38
KansasCity,3.77,4.66,0.89
Milwaukee,3.16,4.37,1.21
Minnesota,3.49,4.56,1.07
NewYork,3.59,3.96,0.37
Oakland,3.9,4.68,0.78
Texas,2.99,3.82,0.83
