state,excess
Arizona,25
Arkansas,18
Colorado,17
Connecticut,30
Florida,19
Idaho,14
Illinois,15
Iowa,25
Kansas,13
Louisiana,29
Michigan,21
Missouri,17
Montana,15
New Jersey,38
Ohio,15
Oregon,7
Pennsylvania,15
Texas,25
Washington,10
Utah,12
